date,txn,volume
5/27/2022 0:00,30716,2618297189
5/28/2022 0:00,28220,1494021021
5/29/2022 0:00,24935,894722745.1
5/30/2022 0:00,28007,2410313012
5/31/2022 0:00,26620,1685621582
6/1/2022 0:00,25693,1941105557
6/2/2022 0:00,22154,1612132226
6/3/2022 0:00,24756,1370968165
6/4/2022 0:00,24477,1140978206
6/5/2022 0:00,24592,1206222360
6/6/2022 0:00,28356,1485924261
6/7/2022 0:00,26205,2595541012
6/8/2022 0:00,24086,1991366091
6/9/2022 0:00,26831,1250843098
6/10/2022 0:00,29087,2522519028
6/11/2022 0:00,30816,2471811430
6/12/2022 0:00,30367,2597252773
6/13/2022 0:00,36787,7146216877
6/14/2022 0:00,31957,5134304995
6/15/2022 0:00,31478,5206007762
6/16/2022 0:00,28279,4310568807
6/17/2022 0:00,24623,2563310615
6/18/2022 0:00,30164,3624516309
6/19/2022 0:00,28299,3619837918
6/20/2022 0:00,27176,2988318416
6/21/2022 0:00,27162,2334687196
6/22/2022 0:00,25421,1933561933
6/23/2022 0:00,23899,2288532289
6/24/2022 0:00,25970,2408516450
6/25/2022 0:00,22540,1338505778
6/26/2022 0:00,22578,1357730732
6/27/2022 0:00,22505,1214742067
6/28/2022 0:00,23986,1680534209
6/29/2022 0:00,24680,2084992400
6/30/2022 0:00,25867,2173390823
7/1/2022 0:00,26511,2276022418
7/2/2022 0:00,26392,1276564893
7/3/2022 0:00,24802,976920683.6
7/4/2022 0:00,25902,1741353722
7/5/2022 0:00,27077,1908065310
7/6/2022 0:00,27714,1904910461
7/7/2022 0:00,29365,1526124996
7/8/2022 0:00,28650,1695966988
7/9/2022 0:00,26920,812114768.9
7/10/2022 0:00,26470,1096721502
7/11/2022 0:00,26392,1161641158
7/12/2022 0:00,28530,1513386553
7/13/2022 0:00,27811,1730247030
7/14/2022 0:00,27114,1652927002
7/15/2022 0:00,28497,2156499602
7/16/2022 0:00,30304,1949459700
7/17/2022 0:00,26991,1820154540
7/18/2022 0:00,34680,2825295671
7/19/2022 0:00,34507,3103658375
7/20/2022 0:00,34374,2673336233
7/21/2022 0:00,32565,2113315166
7/22/2022 0:00,9829,320313136.4
